II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",,,-159,-70,-58,-109,-123
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",,,,,3,1,2
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",,,"-1,390",-942,"-1,660","-1,130","-1,288"
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",,,"1,750",817,"1,435",910,938
5. Tiền chi đầu tư góp vốn vào đơn vị khác,,,,,,,
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,,,,,,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",,,90,50,106,80,92
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,,,,,,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,,,,,,,
10. Tiền thu khác từ hoạt động đầu tư,,,,,,,
11. Tiền chi khác cho hoạt động đầu tư,,,,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư,,,291,-145,-174,-248,-379
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",,,,,,,
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",,,,,,,
3. Tiền thu từ đi vay,,,2,1,,,
4. Tiền trả nợ gốc vay,,,,-3,,,
5. Tiền trả nợ gốc thuê tài chính,,,,,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",,,-285,-467,-966,-969,"-1,044"
7. Tiền thu khác từ hoạt động tài chính,,,,,,,
8. Tiền chi khác cho hoạt động tài chính,,,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,,,-283,-469,-966,-970,"-1,044"
Lưu chuyển tiền thuần trong kỳ,,,-23,186,463,-317,-207
Tiền và tương đương tiền đầu kỳ,,,196,173,359,821,504
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,,,,,,
Tiền và tương đương tiền cuối kỳ,,,173,359,821,504,297
LƯU CHUYỂN TIỀN TỆ TRỰC TIẾP,,,2021,2022,2023,2024,2025
Giai đoạn,,,01/01-31/12,01/01-31/12,01/01-31/12,01/01-31/12,01/01-31/12
Hợp nhất,,,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,,,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,KPMG,KPMG,KPMG,KPMG,
Ý kiến kiểm toán,,,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,
,,,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,,,
"1. Tiền thu từ bán hàng, cung cấp dịch vụ và doanh thu khác",,,,,,,
2. Tiền chi trả cho người cung cấp hàng hoá và dịch vụ,,,,,,,
3. Tiền chi trả cho người lao động,,,,,,,
4. Tiền chi trả lãi vay,,,,,,,
5. Tiền chi nộp thuế thu nhập doanh nghiệp,,,,,,,
6. Tiền thu khác từ hoạt động kinh doanh,,,,,,,
7. Tiền chi khác cho hoạt động kinh doanh,,,,,,,
Lưu chuyển tiền thuần từ hoạt động kinh doanh,,,,,,,
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",,,,,,,
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",,,,,,,
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",,,,,,,
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",,,,,,,
5. Tiền chi đầu tư góp vốn vào đơn vị khác,,,,,,,
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,,,,,,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",,,,,,,
8. Tiền thu khác từ hoạt động đầu tư,,,,,,,
9. Tiền chi khác cho hoạt động đầu tư,,,,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư,,,,,,,
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",,,,,,,
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",,,,,,,
3. Tiền thu từ đi vay,,,,,,,
4. Tiền chi trả nợ gốc vay,,,,,,,
5. Tiền trả nợ gốc thuê tài chính,,,,,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",,,,,,,
7. Tiền thu khác từ hoạt động tài chính,,,,,,,
8. Tiền chi khác cho hoạt động tài chính,,,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,,,,,,,
Lưu chuyển tiền thuần trong kỳ,,,,,,,
Tiền và tương đương tiền đầu kỳ,,,,,,,
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,,,,,,
Tiền và tương đương tiền cuối kỳ,,,,,,,
